name,region,rating,wins,losses,massey,colley,elo
Greenup County,16,49.99,17,10,50.56,44.11,55.29
Edmonson County,3,49.48,17,9,49.32,48.78,50.35
Livingston Central,2,49.26,20,9,47.95,46.61,53.23
Taylor County,5,49.16,16,14,50.83,43.7,52.95
Fleming County,16,49.15,16,15,51.06,48.52,47.87
Conner,9,48.93,11,18,57.01,47.08,42.71
Allen County-Scottsville,4,48.9,12,15,53.37,49.15,44.17
Bullitt Central,6,48.42,15,12,52.44,48.47,44.36
Apollo,3,48.34,11,17,53.08,46.99,44.96
Berea,11,48.21,16,12,50.88,43.83,49.91
Calloway County,1,48.09,15,14,50.6,45.78,47.91
Bracken County,10,47.98,17,11,51.08,46.59,46.27
Logan County,4,47.78,14,11,52.15,50.98,40.21
Cooper,9,47.11,11,17,55.03,44.2,42.1
Harrison County,10,46.92,15,16,52.68,43.38,44.71
Greenwood,4,46.79,10,19,51.8,44.24,44.34
Louisville Collegiate,7,46.74,16,14,48.78,41.22,50.22
Sheldon Clark,15,46.6,17,12,48.6,44.25,46.97
Shelby Valley,15,46.22,13,18,46.85,36.95,54.86
Adair County,5,45.74,16,12,51.47,44.35,41.4
Carlisle County,1,45.67,16,14,48.27,43.87,44.88
Walton-Verona,8,45.64,15,13,56.04,45.26,35.64
East Ridge,15,45.5,16,9,51.32,44.87,40.31
St. Mary,1,44.79,10,12,49.95,39.69,44.74
South Laurel,13,44.73,12,17,52.11,44.49,37.6
Belfry,15,44.71,15,10,49.14,42.35,42.65
Lyon County,2,44.65,18,12,49.47,44.64,39.85
LaRue County,5,44.62,17,11,51.34,42.96,39.55
South Floyd,15,44.46,15,11,47.67,38.25,47.47
Bath County,16,44.44,16,10,49.93,45.82,37.58
McCreary Central,12,44.18,12,16,54.69,46.18,31.67
Estill County,14,43.99,18,14,48.42,41.98,41.58
Beechwood,9,43.96,14,12,49.31,40.02,42.56
Doss,6,43.68,9,17,55.42,42.06,33.54
Leslie County,14,43.64,13,10,47.18,41.77,41.96
Beth Haven,6,43.49,16,10,45.86,38.41,46.2
Owensboro Catholic,3,42.61,11,17,53.37,39.24,35.22
Southern,6,42.38,10,16,52.07,39.86,35.22
Kentucky Country Day,7,42.2,13,12,50.49,44.52,31.58
Paintsville,15,41.87,12,14,47.81,35.12,42.68
Bethlehem,5,41.5,11,14,50.14,36.2,38.16
Lloyd Memorial,9,41.06,14,15,49.28,40.83,33.07
Wolfe County,14,40.81,13,15,46.81,36.77,38.86
Meade County,3,40.33,12,19,50.6,35.79,34.61
Breathitt County,14,39.75,11,18,46.82,34.61,37.81
Harlan,13,39.7,11,15,46.46,36.82,35.82
Whitefield Academy,7,39.41,13,15,48.39,36.72,33.1
East Carter,16,39.22,12,17,47.14,39.31,31.21
Jackson County,13,39,15,14,44.12,32.47,40.4
Waggener,7,38.83,8,19,47.98,36.65,31.85
Anderson County,8,37.99,8,17,52.56,34.32,27.11
Valley,6,37.99,7,15,53.2,32.21,28.58
Boyd County,16,37.91,12,17,46.71,32.8,34.23
Trigg County,2,37.83,17,8,44.95,36.11,32.43
Nelson County,5,37.66,9,20,49.45,33.44,30.09
Powell County,14,37.57,12,11,45.2,33.48,34.02
Model,11,36.08,12,15,46.7,34.83,26.7
St. Henry,9,35.77,5,18,45.75,30.15,31.41
Somerset,12,35.18,9,19,48.2,30.5,26.85
Caverna,5,35.1,11,17,47.29,29.94,28.07
Lee County,14,34.41,13,16,45.33,32.84,25.07
Warren East,4,34.08,8,20,46.08,33.7,22.44
Mayfield,1,33.91,9,18,47.91,30.9,22.93
North Bullitt,6,33.44,13,16,48.07,32.25,19.99
McLean County,3,32.91,11,15,44.01,26.47,28.24
Newport,9,32.42,11,18,43.59,29.96,23.72
Shelby County,8,32.38,4,24,45.78,27.33,24.02
Hopkins County Central,2,32.05,8,22,42.34,28.69,25.1
Garrard County,12,31.91,10,18,43.81,23.63,28.29
Fairview,16,31.76,8,17,48.34,23.63,23.3
Menifee County,16,31.73,8,17,43.6,28.82,22.78
Williamsburg,13,31.56,8,16,45.91,27.54,21.22
Barren County,4,31.1,5,21,48.53,26.6,18.15
Augusta,10,30.92,10,16,46.65,27.36,18.76
Fulton City,1,30.87,8,17,44.85,24.63,23.15
Grant County,8,29.95,9,20,49.49,26.71,13.63
Pineville,13,29.67,11,17,42.51,24.54,21.97
Murray,1,29.49,9,17,44.31,22.94,21.23
Atherton,7,28.56,5,20,45.04,27.01,13.63
Allen Central,15,28.33,8,19,42.51,20.06,22.44
Paris,10,28.1,7,20,44.74,20.39,19.16
Calvary Christian,10,27.87,12,14,38.76,19.78,25.06
Magoffin County,15,27.63,12,14,39.46,20.67,22.75
St. Patrick,10,27.63,9,16,41.06,19.23,22.6
Casey County,12,27.4,6,22,49.29,23.09,9.81
Rockcastle County,12,25.97,7,23,44.69,23.79,9.44
Ludlow,9,25.37,13,13,35.39,21.87,18.84
Butler County,3,25.25,12,14,41.93,20.68,13.15
Bourbon County,10,24.31,8,21,43.95,19.08,9.9
Villa Madonna,9,24.17,12,15,35.34,20.39,16.76
Evangel Christian,6,24.05,11,12,36.15,19.7,16.31
Shawnee,6,23.79,4,22,42.28,20.37,8.72
Community Christian (Paducah),1,23.77,9,13,38.45,16.24,16.62
Hancock County,3,23.7,8,18,42.98,15.36,12.74
Burgin,12,23.33,12,12,37,15.65,17.34
Todd County Central,4,23.33,3,21,42.19,16.73,11.06
Lone Oak,1,22.68,3,22,44.61,17.79,5.64
Cordia,14,22.24,7,16,36.59,16.08,14.04
Prestonsburg,15,22.24,7,21,39.62,14.48,12.62
Oneida Baptist Institute,13,22.12,6,13,34.72,12.74,18.9
Fort Knox,5,21.37,5,19,43.23,16.89,3.98
Raceland,16,21.23,7,21,41.09,12.45,10.16
Monticello,12,21.05,7,21,38.09,18.27,6.79
Eminence,8,20.4,10,18,37.35,11.49,12.35
Middlesboro,13,19.52,3,21,36.97,14.58,7
Trimble County,8,19.48,6,20,40.59,12.76,5.09
Hickman County,1,19.21,3,21,40.11,10.74,6.76
Crittenden County,2,17.54,6,18,38.83,7.99,5.8
Lynn Camp,13,16.98,6,20,37.46,11.51,1.96
Reidland,1,16.72,8,21,37.7,10.72,1.75
Green County,5,16.36,2,24,42.82,6.53,-0.28
Dawson Springs,2,16.09,6,21,35.11,8.7,4.45
Cumberland County,4,16.08,3,25,38.84,12.75,-3.36
Washington County,5,15.73,5,23,38.28,8.92,-0.01
Fort Campbell,2,15.3,1,22,32.02,16.92,-3.03
Caldwell County,2,14.82,6,21,35.27,9.25,-0.07
Morgan County,16,14.44,2,23,35.76,10.87,-3.3
Carroll County,8,14.18,5,21,40.43,7.57,-5.47
Hart County,5,13.15,3,21,38.24,3.49,-2.27
Jenkins,14,13.09,7,18,28.74,8.57,1.95
Red Bird,13,12.27,7,12,19.46,3.99,13.37
Owsley County,14,11.88,4,20,30.9,-0.19,4.94
Williamstown,8,11.45,3,23,35.51,1.73,-2.9
Phelps,15,10.88,3,23,31.56,3.61,-2.55
Bellevue,9,10.65,9,18,30.38,3.29,-1.71
Jackson City,14,9.69,7,19,28.58,0.82,-0.34
Portland Christian,6,7.65,5,16,29.94,-0.78,-6.22
Nicholas County,10,6.78,2,21,27.8,-2.54,-4.92
Trinity (Whitesville),3,6.15,3,19,31.07,-2.24,-10.38
Dayton,9,5.88,5,20,29.88,-3.21,-9.02
Silver Grove,10,5.47,4,20,24.6,-5.44,-2.75
St. Francis,6,4.45,4,21,23.7,-0.68,-9.68
Lawrence County,15,3.25,0,28,24.58,-5.22,-9.61
Brown,6,-0.47,2,18,20.02,-8.92,-12.52
Kentucky School f/t Deaf,12,-0.91,14,13,15.05,-10.62,-7.17
Heritage Academy,9,-9.97,0,22,15.77,-20.24,-25.45
Riverside Christian,14,-11.31,1,27,12.68,-20.13,-26.49
