Name,teamID,Record,Rating,Region,District,Wins,Losses,GamesPlayed,inState
Paducah Tilghman,197,21-12,63.65,1,2,21,12,33,18-8
Barren County,12,23-9,62.88,4,15,23,9,32,23-8
Louisville Collegiate,153,20-7,62.65,7,26,20,7,27,20-7
Shelby Valley,228,25-8,62.26,15,59,25,8,33,24-6
Grant County,103,22-11,62.06,8,32,22,11,33,20-10
Clinton County,54,24-8,61.65,4,16,24,8,32,23-8
North Oldham,189,16-14,61.57,8,29,16,14,30,15-14
Bishop Brossart,22,25-7,61.38,10,37,25,7,32,25-7
Danville,65,23-13,61.26,12,45,23,13,36,22-13
Paul Laurence Dunbar,200,13-18,61.12,11,43,13,18,31,13-18
Ohio County,190,22-8,60.9,3,10,22,8,30,21-8
Woodford County,271,17-16,60.65,8,30,17,16,33,17-16
Muhlenberg County,180,20-12,60.62,3,10,20,12,32,19-10
Robertson County,214,24-6,59.8,10,38,24,6,30,24-6
Doss,72,17-12,59.71,6,22,17,12,29,13-11
Lexington Christian,148,18-12,59.68,11,43,18,12,30,17-12
Madison Central,157,14-18,59.22,11,44,14,18,32,14-18
East Jessamine,75,19-12,59.13,12,46,19,12,31,18-12
Harlan County,112,24-11,58.97,13,52,24,11,35,23-11
Campbell County,42,18-15,58.47,10,37,18,15,33,16-15
Mason County,165,18-12,58.44,10,39,18,12,30,18-12
Lawrence County,142,22-12,58.34,15,58,22,12,34,22-12
Owensboro Catholic,195,21-14,58.32,3,9,21,14,35,21-13
Boyd County,26,19-15,58.23,16,64,19,15,34,17-10
Anderson County,3,19-10,58.09,8,30,19,10,29,19-10
Johnson Central,134,17-12,57.93,15,57,17,12,29,16-10
Calloway County,40,18-14,57.84,1,4,18,14,32,15-13
Holy Cross (Covington),124,15-13,57.69,9,35,15,13,28,15-13
Greenwood,109,17-14,57.52,4,14,17,14,31,16-13
Bullitt East,35,13-16,57.51,6,24,13,16,29,12-14
Lyon County,156,23-10,56.95,2,5,23,10,33,23-9
Wayne County,260,18-13,56.66,12,48,18,13,31,15-11
Newport Central Catholic,184,16-10,56.63,9,36,16,10,26,13-8
Pikeville,205,17-12,56.58,15,59,17,12,29,15-10
DuPont Manual,73,14-14,56.23,7,25,14,14,28,14-14
Madison Southern,158,16-14,55.88,11,44,16,14,30,13-13
Western,264,17-15,55.75,6,22,17,15,32,17-15
Mayfield,166,21-10,55.38,1,3,21,10,31,20-10
Paintsville,198,15-14,55.04,15,57,15,14,29,15-14
Newport,183,15-15,54.87,9,36,15,15,30,13-12
Central Hardin,49,13-15,54.83,5,17,13,15,28,12-13
Lewis County,146,18-16,54.83,16,63,18,16,34,18-16
LaRue County,141,10-21,54.41,5,18,10,21,31,9-21
Phelps,203,20-11,54.38,15,60,20,11,31,14-7
Breckinridge County,30,20-10,54.32,3,11,20,10,30,20-9
Cooper,58,11-17,54.26,9,33,11,17,28,11-15
Fairdale,84,15-15,53.82,6,21,15,15,30,14-14
Wolfe County,270,21-10,53.68,14,55,21,10,31,21-10
Bryan Station,32,12-18,53.56,11,42,12,18,30,11-16
Christian County,51,13-19,53.45,2,8,13,19,32,13-19
South Warren,233,16-15,53.37,4,14,16,15,31,15-14
Henderson County,116,19-13,53.36,2,6,19,13,32,16-13
Middlesboro,174,20-10,53.21,13,52,20,10,30,18-10
Knott County Central,138,18-11,53.12,14,53,18,11,29,18-11
Boyle County,27,12-14,53.11,12,45,12,14,26,12-14
McLean County,169,22-12,52.79,3,10,22,12,34,18-12
Corbin,59,16-14,51.97,13,50,16,14,30,12-12
University Heights,251,15-14,51.92,2,8,15,14,29,13-13
Glasgow,102,14-14,51.89,4,15,14,14,28,14-14
Greenup County,108,21-10,51.37,16,63,21,10,31,13-8
North Hardin,187,12-18,51.27,5,17,12,18,30,12-18
Caldwell County,39,16-16,51.2,2,7,16,16,32,16-14
Lloyd Memorial,151,15-13,51.04,9,34,15,13,28,15-13
West Carter,262,17-13,50.97,16,62,17,13,30,16-13
Raceland,212,18-9,50.9,16,63,18,9,27,16-8
Southwestern,235,17-15,50.78,12,48,17,15,32,13-13
Great Crossing,106,14-17,50.61,11,41,14,17,31,13-17
Russell,218,12-16,50.58,16,63,12,16,28,10-14
Hopkinsville,127,14-17,50.28,2,8,14,17,31,13-15
Dixie Heights,71,10-21,50.14,9,34,10,21,31,10-20
Frankfort,91,18-16,49.96,11,41,18,16,34,18-13
Holmes,123,11-17,49.94,9,35,11,17,28,10-16
Carlisle County,44,20-11,49.84,1,1,20,11,31,19-11
Graves County,104,12-20,49.37,1,3,12,20,32,10-13
Franklin County,93,16-16,49.28,11,41,16,16,32,16-16
Iroquois,128,16-15,49.1,6,22,16,15,31,16-15
Estill County,82,22-11,48.82,14,56,22,11,33,20-11
Franklin-Simpson,94,14-16,48.71,4,13,14,16,30,14-15
Williamsburg,268,17-13,48.7,13,50,17,13,30,12-12
Campbellsville,43,15-15,48.6,5,20,15,15,30,15-14
Allen County-Scottsville,2,15-16,48.43,4,15,15,16,31,14-16
Gallatin County,99,17-15,48.36,8,31,17,15,32,16-15
Butler County,38,21-10,48.03,3,12,21,10,31,21-10
Moore,178,10-17,47.72,6,23,10,17,27,10-16
Taylor County,243,14-17,47.41,5,20,14,17,31,14-17
Perry County Central,202,13-18,47.18,14,54,13,18,31,11-16
Betsy Layne,21,17-12,46.76,15,58,17,12,29,17-12
Bell County,16,12-18,46.39,13,52,12,18,30,12-17
Sayre,222,16-15,46.34,11,42,16,15,31,15-15
Holy Cross (Louisville),125,16-12,46.29,6,21,16,12,28,12-11
Central,48,10-21,46.27,7,25,10,21,31,10-21
Bath County,13,16-17,46.23,16,61,16,17,33,15-15
Mercer County,172,15-14,46.22,12,46,15,14,29,12-14
Kentucky Country Day,136,15-13,45.9,7,28,15,13,28,13-13
Harlan,111,13-17,45.39,13,52,13,17,30,11-15
Ryle,221,12-17,45.38,9,33,12,17,29,12-17
Christian Academy-Louisville,50,10-19,45.14,7,28,10,19,29,10-18
Atherton,6,12-16,44.87,7,27,12,16,28,12-16
Breathitt County,29,13-17,44.61,14,55,13,17,30,12-17
Henry County,118,18-15,43.51,8,31,18,15,33,17-15
Magoffin County,160,15-15,43.32,15,57,15,15,30,15-14
Berea,18,22-10,43.01,11,44,22,10,32,20-10
Walton-Verona,256,13-18,42.59,8,32,13,18,31,13-18
Russell County,219,13-17,42.12,4,16,13,17,30,12-16
Bullitt Central,34,10-22,42.04,6,23,10,22,32,10-22
Calvary Christian,41,15-15,41.73,10,37,15,15,30,13-13
Hart County,114,14-16,41.72,5,18,14,16,30,14-16
Valley,252,7-21,41.6,6,21,7,21,28,7-21
Barbourville,10,13-16,41.26,13,51,13,16,29,10-15
Cordia,60,11-17,41.19,14,53,11,17,28,10-17
East Ridge,76,10-16,41.05,15,59,10,16,26,10-14
East Carter,74,11-16,40.88,16,62,11,16,27,10-15
Ludlow,154,18-13,40.84,9,34,18,13,31,17-12
Metcalfe County,173,15-15,40.76,4,16,15,15,30,15-15
Paris,199,11-18,40.65,10,40,11,18,29,11-17
Crittenden County,63,16-17,40.64,2,5,16,17,33,14-15
Meade County,170,10-17,40.15,3,11,10,17,27,10-16
Southern,234,6-18,39.77,6,23,6,18,24,6-17
Elliott County,80,8-14,39.14,16,62,8,14,22,8-12
Nelson County,182,12-21,38.91,5,19,12,21,33,12-21
Edmonson County,78,12-15,38.63,3,12,12,15,27,12-15
Jackson County,130,13-17,38.48,13,49,13,17,30,13-16
Fulton County,98,14-16,38.32,1,1,14,16,30,11-11
Whitefield Academy,266,14-14,38.27,6,24,14,14,28,13-14
Leslie County,144,12-17,38.01,14,54,12,17,29,12-17
Buckhorn,33,15-16,37.93,14,54,15,16,31,13-15
Garrard County,100,10-19,37.75,12,45,10,19,29,7-19
Scott,223,6-22,37.46,10,37,6,22,28,6-21
Pendleton County,201,12-20,37.29,10,38,12,20,32,12-20
Grayson County,105,10-22,37.19,3,12,10,22,32,10-22
Daviess County,67,8-21,36.8,3,9,8,21,29,8-20
Shawnee,226,14-13,36.71,7,25,14,13,27,13-13
Highlands Latin,122,4-2,36.6,NaN,NaN,4,2,6,3-1
Shelby County,227,7-22,36.6,8,30,7,22,29,7-22
Western Hills,265,14-17,36.6,11,41,14,17,31,12-17
Rockcastle County,215,8-21,36.21,12,47,8,21,29,8-21
Augusta,7,14-19,36.01,10,39,14,19,33,10-19
Boone County,23,6-24,35.95,9,33,6,24,30,5-22
Bracken County,28,11-20,35.62,10,39,11,20,31,10-20
Adair County,1,13-18,35.46,5,20,13,18,31,13-18
Morgan County,179,9-18,35.15,16,62,9,18,27,9-18
Oneida Baptist Institute,192,11-19,34.99,13,49,11,19,30,11-17
Belfry,15,10-19,34.91,15,60,10,19,29,9-18
Lynn Camp,155,13-15,34.82,13,51,13,15,28,8-14
Whitley County,267,12-19,34.8,13,50,12,19,31,9-17
McCreary Central,168,9-20,34.61,12,48,9,20,29,8-20
Prestonsburg,210,9-19,34.39,15,58,9,19,28,9-18
Dawson Springs,68,13-18,34.27,2,7,13,18,31,12-18
Apollo,4,5-25,34.26,3,9,5,25,30,5-20
Letcher County Central,145,9-20,33.83,14,53,9,20,28,8-20
Bethlehem,20,11-20,33.73,5,19,11,20,31,11-20
Warren East,258,6-21,33.73,4,14,6,21,27,6-21
Jackson City,129,15-14,33.51,14,55,15,14,29,15-14
Christian Fellowship,52,18-11,33.31,1,4,18,11,29,12-10
Carroll County,45,10-19,33.28,8,31,10,19,29,10-19
St. Mary,239,12-19,33.2,1,2,12,19,31,11-17
Hancock County,110,10-17,33.13,3,11,10,17,27,9-14
Thomas Nelson,244,10-19,32.86,5,19,10,19,29,9-19
Monroe County,176,10-18,32.82,4,15,10,18,28,9-18
Hopkins County Central,126,8-21,32.78,2,7,8,21,29,8-21
Model,175,10-21,32.67,11,44,10,21,31,8-20
Menifee County,171,11-20,32.33,16,61,11,20,31,11-19
Fulton City,97,11-14,32.26,1,1,11,14,25,6-9
Fort Knox,90,9-18,31.81,5,17,9,18,27,8-18
Fleming County,87,10-21,31.78,16,61,10,21,31,9-21
Pineville,206,10-17,31.64,13,51,10,17,27,6-15
Union County,250,9-21,31.59,2,6,9,21,30,7-19
Floyd Central,88,7-22,31.19,15,58,7,22,29,6-20
Walden,255,19-11,31.14,7,28,19,11,30,16-11
Williamstown,269,14-17,31.04,8,32,14,17,31,14-17
Trimble County,247,7-22,30.85,8,29,7,22,29,7-18
Cumberland County,64,7-22,30.66,4,16,7,22,29,7-22
Pike County Central,204,8-21,29.98,15,60,8,21,29,8-19
Trinity (Whitesville),249,9-22,29.56,3,12,9,22,31,9-22
Fairview,85,8-18,29.16,16,64,8,18,26,4-15
Harrison County,113,5-25,27.78,10,38,5,25,30,5-25
Red Bird,213,8-21,27.38,13,49,8,21,29,5-18
Owsley County,196,11-17,27.27,14,56,11,17,28,10-17
Hickman County,120,10-17,27.08,1,1,10,17,27,7-15
Trigg County,246,11-19,26.92,2,5,11,19,30,9-17
Green County,107,5-21,25.85,5,18,5,21,26,5-20
Danville Christian,66,16-14,25.81,12,45,16,14,30,13-13
Dayton,69,12-20,25.74,9,36,12,20,32,11-19
Beth Haven,19,10-17,25.42,6,21,10,17,27,10-16
Washington County,259,5-26,25,5,19,5,26,31,4-26
Portland Christian,208,11-18,24.82,7,25,11,18,29,11-17
Owen County,193,7-24,24.13,8,31,7,24,31,7-24
Todd County Central,245,6-22,24.07,4,13,6,22,28,4-22
Fort Campbell,89,9-21,23.39,2,8,9,21,30,7-16
Brown,31,5-25,22.25,7,26,5,25,30,5-23
Caverna,47,5-23,21.65,5,18,5,23,28,5-23
Villa Madonna,253,7-23,21.58,9,34,7,23,30,7-17
Nicholas County,185,5-26,21.49,10,38,5,26,31,5-26
Russellville,220,6-21,21.08,4,13,6,21,27,4-20
Casey County,46,3-28,20.82,12,47,3,28,31,2-26
St. Francis,237,7-20,20.8,7,25,7,20,27,7-18
Rose Hill Christian,216,6-22,20.27,16,64,6,22,28,1-19
Ballard Memorial,9,4-27,20,1,3,4,27,31,4-26
Powell County,209,6-21,19.41,14,56,6,21,27,6-21
Livingston Central,150,3-28,16.32,2,5,3,28,31,3-27
Eminence,81,5-26,14.29,8,31,5,26,31,4-26
Frederick Fraize,96,4-24,14.03,3,11,4,24,28,4-23
St. Patrick,240,5-26,13.28,10,39,5,26,31,5-23
Lee County,143,6-24,11.68,14,56,6,24,30,4-24
Burgin,36,4-27,11.13,12,46,4,27,31,4-26
Bellevue,17,3-25,9.99,9,36,3,25,28,3-24
Heritage Academy,119,7-19,8.45,9,33,7,19,26,7-19
Jenkins,132,1-23,7.59,15,59,1,23,24,1-21
Community Christian (Paducah),56,1-30,5.55,1,2,1,30,31,0-26
June Buchanan,135,3-19,5.33,14,53,3,19,21,3-18
Evangel Christian,83,3-20,4.08,6,23,3,20,23,3-20
Kentucky School f/t Deaf,137,0-16,3.15,12,45,0,16,16,0-5
Frankfort Christian,92,2-27,-2.17,11,41,2,27,29,2-27
Covington Latin,62,0-19,-9.21,9,35,0,19,19,0-15
