Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Daviess County,Trinity (Whitesville),12/03/19,2,Daviess County,1,60,58,67,249,0
Dawson Springs,Christian Fellowship,12/03/19,19,Dawson Springs,1,70,51,68,52,0
DeSales,Trinity (Louisville),12/03/19,1,DeSales,1,53,52,70,248,0
DuPont Manual,Seneca,12/03/19,9,DuPont Manual,1,65,56,73,225,0
Fairdale,Southern,12/03/19,16,Fairdale,1,74,58,84,234,0
Fern Creek,Western,12/03/19,3,Western,0,76,73,86,264,0
Floyd Central,Morgan County,12/03/19,10,Floyd Central,1,61,51,88,179,0
Franklin County,Paris,12/03/19,37,Franklin County,1,69,32,93,199,0
Frederick Douglass,Henry Clay,12/03/19,6,Frederick Douglass,1,78,72,95,117,0
Fulton City,Community Christian (Paducah),12/03/19,25,Fulton City,1,75,50,97,56,0
Fulton County,OUT_STATE,12/03/19,21,Fulton County,1,82,61,98,0,0
Garrard County,OUT_STATE,12/03/19,16,Garrard County,1,64,48,100,0,0
George Rogers Clark,Bath County,12/03/19,33,George Rogers Clark,1,81,48,101,13,0
Grayson County,Apollo,12/03/19,5,Grayson County,1,53,48,105,4,0
Greenup County,Menifee County,12/03/19,16,Menifee County,0,87,71,108,171,0
Harlan County,Breathitt County,12/03/19,8,Breathitt County,0,61,53,112,29,0
Hazard,Martin County,12/03/19,17,Hazard,1,80,63,115,164,0
Highlands,Ryle,12/03/19,29,Highlands,1,87,58,121,221,0
Iroquois,North Oldham,12/03/19,21,Iroquois,1,73,52,128,189,0
Jeffersontown,Eastern,12/03/19,8,Jeffersontown,1,68,60,131,77,0
John Hardin,Bryan Station,12/03/19,30,John Hardin,1,93,63,133,32,0
Johnson Central,OUT_STATE,12/03/19,24,OUT_STATE,0,69,45,134,0,0
OUT_STATE,Hopkinsville,12/03/19,11,Hopkinsville,0,69,58,0,127,0
OUT_STATE,Kentucky School f/t Deaf,12/03/19,22,OUT_STATE,1,38,16,0,137,0
Lawrence County,East Carter,12/03/19,13,East Carter,0,83,70,142,74,0
OUT_STATE,Harlan,12/03/19,10,OUT_STATE,1,59,49,0,111,0
Lexington Christian,OUT_STATE,12/03/19,19,Lexington Christian,1,70,51,148,0,0
Lincoln County,LaRue County,12/03/19,22,LaRue County,0,59,37,149,141,0
Lloyd Memorial,Carroll County,12/03/19,21,Lloyd Memorial,1,72,51,151,45,0
Louisville Collegiate,Whitefield Academy,12/03/19,17,Louisville Collegiate,1,80,63,153,266,0
Lynn Camp,OUT_STATE,12/03/19,2,OUT_STATE,0,77,75,155,0,0
Lyon County,Caldwell County,12/03/19,2,Caldwell County,0,59,57,156,39,0
Madison Central,Pulaski County,12/03/19,7,Madison Central,1,76,69,157,211,0
Madison Southern,Cordia,12/03/19,14,Madison Southern,1,66,52,158,60,0
Madisonville-North Hopkins,Bowling Green,12/03/19,8,Madisonville-North Hopkins,1,69,61,159,25,0
Male,Waggener,12/03/19,28,Male,1,84,56,161,254,0
McLean County,Hancock County,12/03/19,6,McLean County,1,53,47,169,110,0
Metcalfe County,Warren East,12/03/19,8,Metcalfe County,1,69,61,173,258,0
Middlesboro,OUT_STATE,12/03/19,30,Middlesboro,1,78,48,174,0,0
Monroe County,Franklin-Simpson,12/03/19,8,Monroe County,1,67,59,176,94,0
Moore,Valley,12/03/19,10,Valley,0,64,54,178,252,0
Muhlenberg County,Logan County,12/03/19,11,Logan County,0,68,57,180,152,0
OUT_STATE,Villa Madonna,12/03/19,47,OUT_STATE,1,88,41,0,253,0
Nicholas County,Bracken County,12/03/19,13,Nicholas County,1,83,70,185,28,0
North Bullitt,Shelby County,12/03/19,23,North Bullitt,1,61,38,186,227,0
Ohio County,Meade County,12/03/19,29,Ohio County,1,77,48,190,170,0
Oldham County,North Hardin,12/03/19,26,North Hardin,0,71,45,191,187,0
Owensboro,Union County,12/03/19,22,Owensboro,1,90,68,194,250,0
Owensboro Catholic,Greenwood,12/03/19,6,Greenwood,0,76,70,195,109,0
Pendleton County,Calvary Christian,12/03/19,1,Calvary Christian,0,64,63,201,41,0
Phelps,OUT_STATE,12/03/19,21,Phelps,1,57,36,203,0,0
Pineville,Red Bird,12/03/19,19,Red Bird,0,78,59,206,213,0
Pleasure Ridge Park,Doss,12/03/19,7,Doss,0,86,79,207,72,0
Prestonsburg,Knott County Central,12/03/19,5,Prestonsburg,1,72,67,210,138,0
Raceland,OUT_STATE,12/03/19,10,OUT_STATE,0,71,61,212,0,0
Robertson County,Augusta,12/03/19,26,Robertson County,1,70,44,214,7,0
Rockcastle County,McCreary Central,12/03/19,10,Rockcastle County,1,65,55,215,168,0
Rowan County,Montgomery County,12/03/19,5,Rowan County,1,61,56,217,177,0
Shawnee,OUT_STATE,12/03/19,11,Shawnee,1,51,40,226,0,0
Somerset,Russell County,12/03/19,16,Somerset,1,66,50,230,219,0
South Laurel,Jackson County,12/03/19,42,South Laurel,1,83,41,231,130,0
South Warren,Allen County-Scottsville,12/03/19,19,South Warren,1,87,68,233,2,0
Southwestern,OUT_STATE,12/03/19,23,Southwestern,1,94,71,235,0,0
St. Henry,Cooper,12/03/19,18,Cooper,0,51,33,238,58,0
St. Mary,Carlisle County,12/03/19,1,St. Mary,1,62,61,239,44,0
St. Patrick,Covington Latin,12/03/19,72,St. Patrick,1,88,16,240,62,0
St. Xavier,Atherton,12/03/19,27,Atherton,0,71,44,241,6,0
Tates Creek,Powell County,12/03/19,35,Powell County,0,85,50,242,209,0
Taylor County,Washington County,12/03/19,15,Washington County,0,77,62,243,259,0
Warren Central,Wayne County,12/03/19,16,Warren Central,1,72,56,257,260,0
Webster County,Hopkins County Central,12/03/19,39,Webster County,1,73,34,261,126,0
West Carter,Fairview,12/03/19,24,West Carter,1,80,56,262,85,0
West Jessamine,Great Crossing,12/03/19,20,Great Crossing,0,66,46,263,106,0
Western Hills,Owen County,12/03/19,25,Western Hills,1,66,41,265,193,0
Whitley County,Model,12/03/19,0.5,Whitley County,1,97,88,267,175,0
Williamsburg,OUT_STATE,12/03/19,53,Williamsburg,1,86,33,268,0,0
Williamstown,Dayton,12/03/19,15,Williamstown,1,67,52,269,69,0
Wolfe County,Estill County,12/03/19,3,Wolfe County,1,56,53,270,82,0
DeSales,OUT_STATE,12/04/19,14,Neutral,2,76,62,70,0,0
Ballard,Fern Creek,12/04/19,6,Ballard,1,76,70,8,86,0
Frankfort,Sayre,12/04/19,9,Frankfort,1,66,57,91,222,0
Holmes,OUT_STATE,12/04/19,19,Holmes,1,91,72,123,0,0
Holy Cross (Louisville),Brown,12/04/19,48,Holy Cross (Louisville),1,68,20,125,31,0
Lexington Catholic,Covington Catholic,12/04/19,1,Lexington Catholic,1,59,58,147,61,0
OUT_STATE,Elliott County,12/04/19,22,Elliott County,0,71,49,0,80,0
Newport Central Catholic,Dixie Heights,12/04/19,9,Newport Central Catholic,1,66,57,184,71,0
Perry County Central,Leslie County,12/04/19,17,Perry County Central,1,90,73,202,144,0
Shelby County,Eminence,12/04/19,11,Shelby County,1,56,45,227,81,0
Thomas Nelson,Burgin,12/04/19,29,Burgin,0,93,64,244,36,0
Walden,St. Francis,12/04/19,11,Walden,1,65,54,255,237,0
North Laurel,OUT_STATE,12/05/19,15,North Laurel,1,61,46,188,0,0
OUT_STATE,Graves County,12/05/19,18,Neutral,2,57,39,0,104,0
OUT_STATE,DeSales,12/05/19,14,Neutral,2,62,48,0,70,0
Ashland Blazer,Johnson Central,12/05/19,10,Johnson Central,0,66,56,5,134,0
Boone County,Scott,12/05/19,20,Boone County,1,80,60,23,223,0
Bourbon County,West Jessamine,12/05/19,18,Bourbon County,1,72,54,24,263,0
Breathitt County,Jackson City,12/05/19,26,Jackson City,0,84,58,29,129,0
Buckhorn,Model,12/05/19,9,Model,0,58,49,33,175,0
Butler,Seneca,12/05/19,18,Butler,1,74,56,37,225,0
Calloway County,Ballard Memorial,12/05/19,39,Calloway County,1,72,33,40,9,0
Calvary Christian,Dayton,12/05/19,33,Calvary Christian,1,61,28,41,69,0
Campbell County,Rowan County,12/05/19,2,Campbell County,1,66,64,42,217,0
Doss,Bullitt Central,12/05/19,8,Doss,1,57,49,72,34,0
East Carter,Elliott County,12/05/19,10,Elliott County,0,69,59,74,80,0
Eastern,Central,12/05/19,12,Eastern,1,61,49,77,48,0
Fairview,Rose Hill Christian,12/05/19,0.5,Fairview,1,75,70,85,216,0
Fort Campbell,Dawson Springs,12/05/19,2,Fort Campbell,1,61,59,89,68,0
Grant County,Woodford County,12/05/19,13,Woodford County,0,83,70,103,271,0
Henderson County,Trinity (Whitesville),12/05/19,3,Henderson County,1,53,50,116,249,0
Highlands,Bishop Brossart,12/05/19,7,Highlands,1,65,58,121,22,0
Hopkinsville,Caldwell County,12/05/19,0.5,Caldwell County,0,74,67,127,39,0
Lafayette,Breckinridge County,12/05/19,15,Breckinridge County,0,80,65,140,30,0
Lexington Christian,Western Hills,12/05/19,12,Western Hills,0,61,49,148,265,0
Lloyd Memorial,Owen County,12/05/19,37,Owen County,0,82,45,151,193,0
Ludlow,Heritage Academy,12/05/19,52,Ludlow,1,90,38,154,119,0
Lynn Camp,Whitley County,12/05/19,10,Lynn Camp,1,60,50,155,267,0
McCracken County,Community Christian (Paducah),12/05/19,51,McCracken County,1,80,29,167,56,0
Mercer County,OUT_STATE,12/05/19,25,Mercer County,1,77,52,172,0,0
Moore,North Hardin,12/05/19,6,Moore,1,84,78,178,187,0
Morgan County,Bath County,12/05/19,1,Morgan County,1,69,68,179,13,0
Paul Laurence Dunbar,Bryan Station,12/05/19,12,Paul Laurence Dunbar,1,75,63,200,32,0
Pike County Central,East Ridge,12/05/19,0.5,East Ridge,0,59,57,204,76,0
Pineville,OUT_STATE,12/05/19,14,Pineville,1,86,72,206,0,0
Shelby Valley,Cordia,12/05/19,17,Shelby Valley,1,71,54,228,60,0
South Oldham,Central Hardin,12/05/19,38,South Oldham,1,85,47,232,49,0
Southern,Brown,12/05/19,41,Southern,1,87,46,234,31,0
Southwestern,Casey County,12/05/19,21,Southwestern,1,73,52,235,46,0
Spencer County,Franklin County,12/05/19,35,Spencer County,1,83,48,236,93,0
Taylor County,Fort Knox,12/05/19,34,Fort Knox,0,83,49,243,90,0
Trimble County,Carroll County,12/05/19,6,Carroll County,0,72,66,247,45,0
Villa Madonna,Bellevue,12/05/19,26,Villa Madonna,1,78,52,253,17,0
Walden,Evangel Christian,12/05/19,51,Walden,1,86,35,255,83,0
Webster County,Christian County,12/05/19,6,Christian County,0,56,50,261,51,0
Williamsburg,Barbourville,12/05/19,14,Williamsburg,1,74,60,268,10,0
Harlan County,Perry County Central,12/06/19,12,Neutral,2,83,71,112,202,0
Hazard,Floyd Central,12/06/19,25,Hazard,1,80,55,115,88,0
Muhlenberg County,Hopkinsville,12/06/19,7,Muhlenberg County,1,61,54,180,127,0
Lee County,OUT_STATE,12/06/19,23,Neutral,2,95,72,143,0,0
South Laurel,OUT_STATE,12/06/19,32,Neutral,2,64,32,231,0,0
John Hardin,University Heights,12/06/19,37,Neutral,2,81,44,133,251,0
Madisonville-North Hopkins,Marshall County,12/06/19,10,Marshall County,0,67,57,159,163,0
Berea,Eminence,12/06/19,42,Berea,1,80,38,18,81,0
OUT_STATE,DeSales,12/06/19,1,Neutral,2,62,61,0,70,0
Adair County,Green County,12/06/19,7,Green County,0,54,47,1,107,0
Anderson County,Harrison County,12/06/19,7,Anderson County,1,52,45,3,113,0
Augusta,Bracken County,12/06/19,8,Augusta,1,94,86,7,28,0
Ballard,Atherton,12/06/19,20,Ballard,1,92,72,8,6,0
Boyd County,Russell,12/06/19,11,Russell,0,51,40,26,218,0
Breckinridge County,Frederick Fraize,12/06/19,40,Frederick Fraize,0,72,32,30,96,0
Bryan Station,Great Crossing,12/06/19,1,Great Crossing,0,58,57,32,106,0
Bullitt Central,Bethlehem,12/06/19,0.5,Bullitt Central,1,56,54,34,20,0
Butler County,Edmonson County,12/06/19,9,Butler County,1,73,64,38,78,0
Campbellsville,Cumberland County,12/06/19,11,Campbellsville,1,70,59,43,64,0
Carlisle County,Paducah Tilghman,12/06/19,3,Carlisle County,1,52,49,44,197,0
Collins,North Bullitt,12/06/19,31,Collins,1,81,50,55,186,0
Daviess County,Warren East,12/06/19,4,Warren East,0,58,54,67,258,0
Doss,Bullitt East,12/06/19,15,Doss,1,61,46,72,35,0
Fairview,OUT_STATE,12/06/19,13,Fairview,1,86,73,85,0,0
Fern Creek,Waggener,12/06/19,2,Waggener,0,70,68,86,254,0
Fleming County,OUT_STATE,12/06/19,14,Fleming County,1,73,59,87,0,0
Fort Campbell,OUT_STATE,12/06/19,13,OUT_STATE,0,48,35,89,0,0
Frankfort,Carroll County,12/06/19,7,Frankfort,1,71,64,91,45,0
Franklin-Simpson,Clinton County,12/06/19,1,Clinton County,0,46,45,94,54,0
Fulton County,Christian Fellowship,12/06/19,3,Fulton County,1,57,54,98,52,0
George Rogers Clark,Campbell County,12/06/19,15,George Rogers Clark,1,63,48,101,42,0
Greenwood,Glasgow,12/06/19,15,Greenwood,1,85,70,109,102,0
Harlan,Middlesboro,12/06/19,7,Harlan,1,57,50,111,174,0
Hart County,Caverna,12/06/19,14,Hart County,1,80,66,114,47,0
Henry Clay,Tates Creek,12/06/19,8,Henry Clay,1,69,61,117,242,0
Henry County,Western Hills,12/06/19,1,Henry County,1,68,67,118,265,0
Highlands Latin      ,Walden,12/06/19,4,Walden,0,66,62,122,255,0
Jackson County,Red Bird,12/06/19,4,Jackson County,1,63,59,130,213,0
Knott County Central,Estill County,12/06/19,7,Knott County Central,1,45,38,138,82,0
Knox Central,OUT_STATE,12/06/19,36,OUT_STATE,0,106,70,139,0,0
Lewis County,Mason County,12/06/19,1,Lewis County,1,69,68,146,165,0
Lexington Catholic,Danville,12/06/19,12,Danville,0,73,61,147,65,0
Lincoln County,Rockcastle County,12/06/19,24,Lincoln County,1,63,39,149,215,0
Lyon County,Livingston Central,12/06/19,23,Livingston Central,0,71,48,156,150,0
Madison Central,LaRue County,12/06/19,0.5,Madison Central,1,75,66,157,141,0
Male,Seneca,12/06/19,9,Seneca,0,79,70,161,225,0
Marion County,Washington County,12/06/19,27,Washington County,0,79,52,162,259,0
Martin County,Lawrence County,12/06/19,32,Martin County,1,74,42,164,142,0
McLean County,Grayson County,12/06/19,5,Grayson County,0,46,41,169,105,0
Metcalfe County,Monroe County,12/06/19,4,Metcalfe County,1,58,54,173,176,0
Montgomery County,Whitley County,12/06/19,37,Montgomery County,1,75,38,177,267,0
Moore,Kentucky Country Day,12/06/19,15,Moore,1,83,68,178,136,0
Nelson County,Thomas Nelson,12/06/19,11,Thomas Nelson,0,61,50,182,244,0
Newport Central Catholic,Lloyd Memorial,12/06/19,15,Lloyd Memorial,0,70,55,184,151,0
Ohio County,Hancock County,12/06/19,21,Hancock County,0,64,43,190,110,0
Oldham County,Holy Cross (Covington),12/06/19,27,Holy Cross (Covington),0,98,71,191,124,0
Owensboro Catholic,Meade County,12/06/19,37,Meade County,0,79,42,195,170,0
Pendleton County,Ludlow,12/06/19,14,Pendleton County,1,71,57,201,154,0
Pike County Central,Jenkins,12/06/19,27,Jenkins,0,63,36,204,132,0
Pleasure Ridge Park,Holy Cross (Louisville),12/06/19,19,Holy Cross (Louisville),0,76,57,207,125,0
Powell County,Leslie County,12/06/19,1,Leslie County,0,64,63,209,144,0
Pulaski County,McCreary Central,12/06/19,23,Pulaski County,1,86,63,211,168,0
Robertson County,Scott,12/06/19,36,Scott,0,93,57,214,223,0
Scott County,Bardstown,12/06/19,8,Bardstown,0,57,49,224,11,0
Shawnee,Brown,12/06/19,17,Brown,0,70,53,226,31,0
Simon Kenton,Beechwood,12/06/19,15,Simon Kenton,1,67,52,229,14,0
South Warren,Barren County,12/06/19,9,Barren County,0,73,64,233,12,0
St. Francis,Portland Christian,12/06/19,14,St. Francis,1,81,67,237,208,0
St. Henry,Conner,12/06/19,5,Conner,0,52,47,238,57,0
St. Mary,Hickman County,12/06/19,22,Hickman County,0,65,43,239,120,0
St. Patrick,Burgin,12/06/19,20,Burgin,0,61,41,240,36,0
St. Xavier,DuPont Manual,12/06/19,13,St. Xavier,1,66,53,241,73,0
OUT_STATE,Trimble County,12/06/19,9,OUT_STATE,1,60,51,0,247,0
Todd County Central,Ballard Memorial,12/06/19,3,Ballard Memorial,0,60,57,245,9,0
Trigg County,Crittenden County,12/06/19,18,Crittenden County,0,61,43,246,63,0
Trinity (Louisville),Madison Southern,12/06/19,0.5,Madison Southern,0,48,44,248,158,0
Valley,Beth Haven,12/06/19,39,Valley,1,91,52,252,19,0
Walton-Verona,Dixie Heights,12/06/19,14,Walton-Verona,1,84,70,256,71,0
Wayne County,Garrard County,12/06/19,9,Wayne County,1,53,44,260,100,0
Western,Southern,12/06/19,9,Southern,0,60,51,264,234,0
OUT_STATE,Oneida Baptist Institute,12/06/19,8,Oneida Baptist Institute,0,63,55,0,192,0
Wolfe County,Letcher County Central,12/06/19,7,Letcher County Central,0,70,63,270,145,0
Union County,Hopkins County Central,12/07/19,2,Neutral,2,63,61,250,126,1
Webster County,Caldwell County,12/07/19,12,Neutral,2,61,49,261,39,1
Frederick Douglass,Rowan County,12/07/19,18,Neutral,2,79,61,95,217,0
Lexington Christian,Buckhorn,12/07/19,40,Neutral,2,84,44,148,33,0
Sayre,Augusta,12/07/19,12,Neutral,2,75,63,222,7,0
Shelby County,Nicholas County,12/07/19,6,Neutral,2,68,62,227,185,0
Betsy Layne,Magoffin County,12/07/19,8,Neutral,2,72,64,21,160,0
Cordia,Pikeville,12/07/19,1,Neutral,2,71,70,60,205,0
OUT_STATE,Pike County Central,12/07/19,4,Pike County Central,0,57,53,0,204,0
Prestonsburg,Letcher County Central,12/07/19,14,Neutral,2,78,64,210,145,0
Spencer County,Shelby Valley,12/07/19,2,Neutral,2,71,69,236,228,0
Henderson County,Fairdale,12/07/19,10,Neutral,2,61,51,116,84,0
Lafayette,Allen County-Scottsville,12/07/19,2,Lafayette,1,78,76,140,2,0
Hazard,Bryan Station,12/07/19,11,Hazard,1,57,46,115,32,0
Bullitt East,Logan County,12/07/19,4,Neutral,2,67,63,35,152,0
Grayson County,Bethlehem,12/07/19,17,Neutral,2,60,43,105,20,0
East Carter,Bath County,12/07/19,13,Bath County,0,58,45,74,13,0
Lewis County,Morgan County,12/07/19,10,Lewis County,1,54,44,146,179,0
West Carter,Russell,12/07/19,0.5,West Carter,1,85,81,262,218,0
Jeffersontown,Muhlenberg County,12/07/19,25,Muhlenberg County,0,71,46,131,180,0
Owensboro,University Heights,12/07/19,4,Neutral,2,68,64,194,251,0
Bowling Green,Bardstown,12/07/19,17,Neutral,2,63,46,25,11,0
Eminence,Lee County,12/07/19,27,Neutral,2,96,69,81,143,0
Eminence,OUT_STATE,12/07/19,76,Neutral,2,95,19,81,0,0
OUT_STATE,Cooper,12/07/19,38,Neutral,2,67,29,0,58,0
Mason County,Frankfort,12/07/19,49,Neutral,2,80,31,165,91,0
Newport,Paul Laurence Dunbar,12/07/19,4,Neutral,2,63,59,183,200,0
Paris,Danville Christian,12/07/19,25,Paris,1,72,47,199,66,0
Ryle,Great Crossing,12/07/19,4,Neutral,2,47,43,221,106,0
Clinton County,North Hardin,12/07/19,10,Neutral,2,54,44,54,187,0
Elizabethtown,Washington County,12/07/19,67,Neutral,2,98,31,79,259,0
John Hardin,Christian County,12/07/19,47,Neutral,2,76,29,133,51,0
North Bullitt,Central Hardin,12/07/19,14,Central Hardin,0,78,64,186,49,0
Clay County,Woodford County,12/07/19,1,Neutral,2,65,64,53,271,0
Corbin,OUT_STATE,12/07/19,12,Neutral,2,63,51,59,0,0
South Laurel,Tates Creek,12/07/19,0.5,Neutral,2,66,64,231,242,0
OUT_STATE,Male,12/07/19,0.5,Neutral,2,78,70,0,161,0
Madisonville-North Hopkins,McCracken County,12/07/19,5,Neutral,2,72,67,159,167,0
OUT_STATE,Marshall County,12/07/19,8,Marshall County,0,84,76,0,163,0
Holy Cross (Covington),Mercer County,12/07/19,4,Mercer County,0,68,64,124,172,0
Oldham County,Danville,12/07/19,15,Neutral,2,71,56,191,65,0
Russell County,Garrard County,12/07/19,30,Neutral,2,60,30,219,100,0
Pulaski County,West Jessamine,12/07/19,4,Pulaski County,1,71,67,211,263,0
Southwestern,East Jessamine,12/07/19,6,Neutral,2,59,53,235,75,0
Berea,OUT_STATE,12/07/19,70,Berea,1,100,30,18,0,0
Berea,Lee County,12/07/19,28,Berea,1,85,57,18,143,0
DeSales,OUT_STATE,12/07/19,24,Neutral,2,51,27,70,0,0
Ashland Blazer,Madison Central,12/07/19,17,Neutral,2,68,51,5,157,0
George Rogers Clark,Floyd Central,12/07/19,39,George Rogers Clark,1,90,51,101,88,0
OUT_STATE,Lyon County,12/07/19,20,Neutral,2,65,45,0,156,0
OUT_STATE,Graves County,12/07/19,3,Neutral,2,48,45,0,104,0
OUT_STATE,Paducah Tilghman,12/07/19,5,OUT_STATE,1,71,66,0,197,0
Barbourville,Bell County,12/07/19,18,Bell County,0,70,52,10,16,0
Boyd County,Menifee County,12/07/19,40,Boyd County,1,96,56,26,171,0
Bracken County,Pendleton County,12/07/19,9,Pendleton County,0,76,67,28,201,0
Calloway County,OUT_STATE,12/07/19,28,Calloway County,1,67,39,40,0,0
Campbellsville,Glasgow,12/07/19,0.5,Campbellsville,1,83,81,43,102,0
Carlisle County,Community Christian (Paducah),12/07/19,23,Carlisle County,1,60,37,44,56,0
Collins,Gallatin County,12/07/19,22,Collins,1,66,44,55,99,0
Daviess County,Trigg County,12/07/19,12,Trigg County,0,65,53,67,246,0
Edmonson County,Cumberland County,12/07/19,4,Cumberland County,0,62,58,78,64,0
Evangel Christian,Heritage Academy,12/07/19,5,Evangel Christian,1,76,71,83,119,0
Franklin County,Nelson County,12/07/19,8,Nelson County,0,48,40,93,182,0
Iroquois,Boone County,12/07/19,5,Boone County,0,59,54,128,23,0
Jackson City,Walden,12/07/19,15,Jackson City,1,64,49,129,255,0
Lawrence County,Phelps,12/07/19,4,Lawrence County,1,68,64,142,203,0
Lexington Catholic,Model,12/07/19,30,Lexington Catholic,1,84,54,147,175,0
Louisville Collegiate,Fort Knox,12/07/19,23,Fort Knox,0,72,49,153,90,0
Lynn Camp,OUT_STATE,12/07/19,11,OUT_STATE,0,71,60,155,0,0
Martin County,OUT_STATE,12/07/19,34,Martin County,1,87,53,164,0,0
Montgomery County,Greenup County,12/07/19,8,Neutral,2,65,57,177,108,0
North Laurel,Harlan County,12/07/19,3,North Laurel,1,66,63,188,112,0
OUT_STATE,Covington Catholic,12/07/19,12,Neutral,2,50,38,0,61,0
Oneida Baptist Institute,Red Bird,12/07/19,29,Oneida Baptist Institute,1,75,46,192,213,0
Owsley County,June Buchanan,12/07/19,30,Owsley County,1,73,43,196,135,0
OUT_STATE,Hancock County,12/07/19,3,OUT_STATE,1,46,43,0,110,0
Perry County Central,Paintsville,12/07/19,7,Perry County Central,1,80,73,202,198,0
