name,region,rating,wins,losses,massey,colley,elo
Paintsville,15,69.25,16,10,70.35,75.25,62.16
Covington Catholic,9,69.12,17,9,75.84,69.32,62.21
Pulaski County,12,68.79,22,5,77.01,68.45,60.9
Iroquois,6,68.47,18,8,76.09,69.54,59.79
Lafayette,11,67.91,14,9,80.38,65.47,57.87
Trinity (Louisville),7,67.62,17,9,73.77,66.84,62.24
Paris,10,67.27,22,9,73.44,69.49,58.89
Campbellsville,5,67.04,21,8,72.59,65.45,63.08
St. Mary,1,66.24,23,6,70.09,68.24,60.39
Newport,9,66.16,15,7,71.16,67.4,59.9
Greenup County,16,66.01,21,7,68.12,66.37,63.55
Barren County,4,65.92,24,8,70.09,63.26,64.42
University Heights,2,65.77,16,14,70.97,67.74,58.6
Owensboro Catholic,3,65.71,16,9,70.35,67.5,59.28
Elizabethtown,5,65.33,17,7,74.81,61.81,59.38
West Jessamine,11,65.18,21,9,71.46,67.55,56.54
Lloyd Memorial,9,65.12,19,7,73.39,65.77,56.19
Allen Central,15,64.39,23,7,65.96,63.38,63.82
West Carter,16,63.94,22,8,65.55,62.44,63.83
Ashland Blazer,16,63.82,17,12,71.24,64.33,55.9
Bell County,13,63.82,18,10,69.85,60.18,61.43
Montgomery County,10,63.68,23,7,66.4,65.62,59.02
Union County,2,63.33,18,12,76.43,61.36,52.19
Todd County Central,4,63.05,18,9,68.82,62.35,57.97
Boyd County,16,62.49,14,14,71.82,57.44,58.21
Boone County,9,62.47,15,12,73.49,59.43,54.5
Clinton County,4,62.39,22,9,68.12,58.82,60.24
Knott County Central,14,62.36,17,10,67.44,62.1,57.55
Eastern,7,62.32,10,9,77.98,62.3,46.69
Mason County,10,61.92,18,11,67.65,62.38,55.72
St. Patrick,10,61.9,17,11,67.24,59.9,58.57
Johnson Central,15,61.79,19,9,63.99,61.93,59.45
Waggener,7,61.41,15,13,74.15,60.78,49.31
Fern Creek,7,60.86,16,13,74.89,62.81,44.88
Newport Central Catholic,9,59.72,14,12,71.03,57.25,50.88
Marion County,5,59.37,14,11,68.9,56.97,52.24
Hazard,14,59.35,14,9,70.03,54.74,53.26
Bishop Brossart,10,59.31,16,12,69.41,61.05,47.47
Fairdale,6,59.27,9,11,75.49,53.91,48.41
Ballard Memorial,1,58.97,15,8,65.18,56.94,54.8
Apollo,3,58.58,14,12,68.98,55.13,51.64
Madison Southern,11,58.46,16,11,64.78,54.43,56.18
Dawson Springs,2,58.38,21,6,63.67,57.31,54.17
Anderson County,8,58.23,16,11,66.76,57.48,50.45
Harrison County,10,58.17,16,15,66.26,53.1,55.14
Wayne County,12,58.17,19,11,66.05,57.76,50.69
Owsley County,14,58.03,18,9,59.54,56.13,58.41
DuPont Manual,7,57.86,10,11,69.51,56.7,47.36
Bethlehem,5,57.71,19,8,65.26,56.2,51.66
Holy Cross (Louisville),6,57.1,15,6,68.27,55.61,47.42
Oldham County,8,57,15,12,67.27,49.61,54.11
Russell,16,56.98,21,11,64.15,56.28,50.51
Western,6,56.96,12,10,66.39,54.45,50.05
Greenwood,4,56.74,17,12,66.38,53.65,50.18
Moore,7,56.22,11,14,67.75,51.59,49.33
Bullitt East,8,56.03,17,11,67.5,49.91,50.69
Mercer County,12,55.49,18,9,63.32,52.65,50.49
Southwestern,12,55.43,15,14,69.2,48.59,48.51
Prestonsburg,15,55.03,13,11,62.29,52.23,50.57
Grayson County,3,54.87,17,11,65.47,50.09,49.04
Muhlenberg South,3,54.8,10,15,66.79,48.51,49.09
Danville,12,54.69,17,11,60.31,49.66,54.11
Owensboro,3,54.47,9,12,66.32,52.08,45.01
Grant County,8,54.28,13,12,65.55,48.41,48.87
Hickman County,1,53.89,13,10,62.72,49.52,49.44
Pike County Central,15,53.69,17,15,57.22,49.42,54.44
Green County,5,53.63,16,12,65.94,46.82,48.13
Seneca,7,53.51,9,13,70.87,49.15,40.51
Southern,6,53.44,10,14,66.5,47.06,46.76
Phelps,15,53.31,16,8,58.2,50.41,51.33
Bracken County,10,53.1,14,12,58.73,48.53,52.05
Hopkins County Central,2,53.06,12,15,63.72,47.09,48.37
Cawood,13,53.05,13,13,60.74,47.46,50.97
Lincoln County,12,53.03,14,14,64.73,48.68,45.7
Caldwell County,2,52.99,15,13,62.29,47.15,49.53
Lone Oak,1,52.59,12,16,62.57,47.54,47.65
Whitley County,13,52.52,15,11,60.57,45.47,51.52
Powell County,14,52.46,14,10,61.73,48.42,47.23
Carlisle County,1,52.29,13,9,60.43,48.42,48.01
Lee County,14,52.15,16,8,57.31,47.86,51.27
Wolfe County,14,52.15,10,14,60.26,44.76,51.44
Rowan County,16,51.97,16,12,62.22,46.04,47.65
Woodford County,11,51.46,12,12,61.64,46.76,45.99
Barbourville,13,51.42,16,9,61.25,47.87,45.15
Western Hills,11,51.34,10,13,57.99,47.12,48.92
Red Bird,13,51.21,18,8,57.05,46.24,50.34
Scott,9,51.2,6,15,68.27,42.95,42.39
Nicholas County,10,51.18,13,10,55.11,47.89,50.53
Lawrence County,16,51.08,13,12,64.59,43.32,45.34
South Oldham,8,50.99,10,9,62.55,45.53,44.89
Rockcastle County,13,50.75,14,13,62.8,48.43,41.04
Garrard County,12,50.06,14,10,59.32,46.04,44.81
Monticello,12,50,12,12,61.07,44,44.92
Central,6,49.96,9,11,62.48,44.98,42.42
Breckinridge County,3,49.9,10,11,62.49,43.7,43.52
Doss,6,49.75,9,14,64.34,44.88,40.03
Magoffin County,15,49.7,9,11,59.83,46.11,43.16
Calloway County,1,49.38,13,14,63.68,42.42,42.02
Hart County,5,49.32,15,10,57.85,42.75,47.37
Henry Clay,11,49.2,10,17,62.71,45.04,39.86
Beth Haven,6,49.13,17,10,54.01,40.35,53.04
June Buchanan,14,48.65,15,8,52.77,41.93,51.26
Hancock County,3,48.54,13,12,57.66,42.16,45.81
East Carter,16,48.33,10,13,58.71,41.25,45.02
Hopkinsville,2,48.32,12,16,57.78,44.77,42.42
Jeffersontown,7,47.62,9,14,63.59,42.86,36.39
Butler,6,47.51,5,14,61.73,40.51,40.28
Daviess County,3,47.37,8,16,59.89,42.66,39.57
Providence,2,47.36,14,12,55.99,39.97,46.12
Ludlow,9,47.03,13,9,49.44,41.73,49.94
East Jessamine,11,46.78,11,16,58.14,43.38,38.83
Middlesboro,13,46.71,8,14,58.33,39.04,42.76
Conner,9,46.65,7,17,63.93,37.42,38.59
Fulton City,1,46.51,10,13,56.22,39.51,43.8
Cordia,14,46.31,10,9,53.86,41.82,43.26
Campbell County,10,46.21,7,20,63.18,38.15,37.31
Bardstown,5,46.01,13,16,58.05,37.49,42.49
Christian Academy-Louisville,7,45.95,15,10,55.79,37.78,44.27
St. Henry,9,45.85,6,14,60.08,39.36,38.1
Leslie County,14,45.79,12,13,52,38.9,46.46
Harrodsburg,12,45.53,12,17,55.44,37.18,43.97
South Floyd,15,45.51,12,11,54.26,37.96,44.31
Reidland,1,45.4,10,15,57.55,36.87,41.76
Adair County,5,44.97,11,14,58.47,36.89,39.55
Elliott County,16,44.88,12,11,55.58,35.2,43.87
Cumberland County,4,44.8,11,14,51.35,37.71,45.34
Lewis County,16,44.74,8,15,55.89,38.45,39.88
Frankfort,11,44.55,12,13,53.89,38.05,41.72
LaRue County,5,44.52,8,12,55,38.25,40.29
Elkhorn City,15,44.17,12,12,52.77,37.49,42.26
Ryle,9,44.12,6,16,60.44,38.86,33.08
Feds Creek,15,43.82,9,10,46,39.55,45.92
Lyon County,2,43.63,12,15,50.2,34.58,46.09
Mayfield,1,43.61,5,14,58.21,35.54,37.07
Knox Central,13,43.58,7,15,56.35,37.73,36.66
Bourbon County,10,43.28,7,19,56.54,37.68,35.63
Williamsburg,13,43.27,14,12,55.96,33.81,40.04
Walton-Verona,8,43.15,11,13,49.38,39.57,40.52
Logan County,4,42.7,10,15,55.66,36.64,35.82
Dixie Heights,9,42.64,8,14,54.26,37.71,35.95
Silver Grove,10,42.63,14,9,44.52,37.07,46.3
Central Hardin,5,42.25,8,16,57.34,31.47,37.95
Oneida Baptist Institute,13,42.02,9,16,49.02,32.45,44.6
Bryan Station,11,41.86,5,20,60.28,33.78,31.52
Millersburg Military,10,41.85,14,13,48.98,37.43,39.15
Bullitt Central,8,41.81,9,16,52.96,30.66,41.79
Sheldon Clark,15,41.75,6,17,58.2,34.35,32.69
Letcher,14,41.74,13,9,45.42,34.23,45.58
Atherton,7,41.34,4,17,57.85,32.04,34.14
Carroll County,8,41.24,10,15,51.29,33.62,38.81
Franklin-Simpson,4,41.09,7,16,54.75,32.07,36.44
Trimble County,8,41.08,13,14,48.32,34.22,40.69
Betsy Layne,15,40.75,7,11,48.96,32.75,40.55
Beechwood,9,40.18,9,14,49.66,31.91,38.96
Meade County,5,40.01,8,17,58.12,29.05,32.84
Jackson County,13,39.9,6,19,51.41,31.31,36.99
DeSales,6,39.86,5,15,57.24,32.3,30.04
Shelby Valley,15,39.75,7,13,50.89,32.37,36.01
Casey County,12,39.69,9,19,51.41,31.61,36.04
Pendleton County,10,39.62,9,16,51.21,31.4,36.26
McLean County,3,39.61,7,13,53.84,29.08,35.91
Sayre,11,39.36,8,19,49.72,31.61,36.75
Warren East,4,39.27,6,17,53.99,28.77,35.05
Raceland,16,39.2,11,12,50.93,30.05,36.61
Somerset,12,39.04,5,17,53.23,29.38,34.53
Henry County,8,39,10,16,45.57,32.84,38.6
McCreary Central,12,38.87,6,16,55.16,28.23,33.21
Trigg County,2,38.82,10,17,49.19,27.95,39.33
Whitefield Academy,7,38.69,10,14,50.99,28.46,36.63
Trinity (Whitesville),3,38,6,15,55.95,25.95,32.1
Burgin,12,37.22,7,14,49.8,25.58,36.29
Spencer County,8,37.04,9,17,49.13,25.84,36.13
Webster County,2,36.88,8,19,50.53,29.86,30.23
Buckhorn,14,36.51,7,15,43.79,27.35,38.38
Berea,11,36.41,8,16,45.02,28.7,35.52
Monroe County,4,36.34,6,19,49.22,27.22,32.59
Bellevue,9,36.14,9,14,42.58,28.6,37.22
Eminence,8,36,10,16,42.27,30.99,34.73
Crittenden County,2,35.97,9,14,47.78,26.63,33.5
Deming,10,34.47,8,16,40.29,26.34,36.77
Fairview,16,34.26,7,11,46.02,21.67,35.1
Belfry,15,33.69,4,19,52.84,23.49,24.74
Washington County,5,33.19,5,19,50.62,20.79,28.16
Cumberland,13,33.11,8,17,41.82,22.96,34.54
Heritage Academy,9,32.36,10,15,41.33,21.02,34.74
Caverna,5,32.3,6,18,45.2,20.9,30.81
Metcalfe County,4,32.18,7,21,43.92,20.88,31.74
Louisville Collegiate,7,31.69,13,9,33.29,19.99,41.8
Warren Central,4,31.57,3,19,49.84,19.53,25.35
Bath County,16,30.6,6,19,43.23,18.15,30.42
Breathitt County,14,30.46,3,16,40.29,18.84,32.24
Allen County-Scottsville,4,30.07,4,20,47.13,17.07,26.02
Edmonson County,4,29.97,6,20,46.36,17.1,26.44
Taylor County,5,29.68,5,20,44.7,17.43,26.91
Evangel Christian,6,29.5,7,10,30.27,17.19,41.05
Model,11,29.42,4,18,41.03,17.13,30.09
Shawnee,6,29.18,5,21,46.21,15.48,25.85
Evarts,13,29.1,5,18,36.33,18.89,32.06
Menifee County,16,28.51,5,15,39.26,15.99,30.29
Livingston Central,2,28.07,4,20,42.16,16.27,25.78
Lynn Camp,13,28.06,7,13,37.51,15.64,31.02
Millard,15,27.72,4,16,35.29,17.62,30.25
North Laurel,12,27.21,1,16,41.73,16.11,23.8
Morgan County,16,26.82,5,19,35.98,13.61,30.87
Estill County,10,26.8,4,21,35.26,18.97,26.16
Butler County,3,26.77,4,21,44.36,13.76,22.18
Fort Knox,5,26.57,4,21,41.73,13.9,24.07
Heath,1,26.47,2,15,37.55,16.39,25.49
North Bullitt,8,26.38,2,23,41.81,13.85,23.48
Lexington Christian,11,26.31,4,19,38.84,14.28,25.8
Russell County,12,25.77,3,22,41.75,10.23,25.34
Fulton County,1,25.7,3,19,42.06,12.38,22.66
Owen County,8,25.49,3,22,37.38,16.39,22.72
Christian Fellowship,1,25.38,4,18,39.66,11.99,24.48
Pineville,13,25.26,3,21,33.6,14.91,27.27
Portland Christian,6,25.21,9,10,32.63,11.94,31.04
Augusta,10,24.01,7,17,28.69,12.63,30.69
Fort Campbell,2,23.92,2,21,36.81,12.12,22.84
Williamstown,8,22,2,22,38.36,10.2,17.45
Riverside Christian,14,21.55,6,16,22.67,10.22,31.76
Brown,7,21.5,7,11,31.41,3.01,30.07
Whitesburg,14,19.68,3,21,28.98,5.56,24.49
Fleming-Neon,14,17.86,1,14,23.68,5.44,24.45
Murray,1,17.13,1,24,30.62,4.98,15.78
Dayton,9,16.96,2,18,26.83,1.39,22.66
Covington Latin,9,16.76,0,8,8.51,9.3,32.48
Jackson City,14,14.41,4,15,13.82,3.3,26.11
Jenkins,14,14.08,3,14,25.5,-3.52,20.27
Villa Madonna,9,13.43,1,19,19.39,-0.8,21.7
Rose Hill Christian,16,10.43,0,11,17.58,-9.26,22.97
Kentucky School f/t Deaf,12,9.94,9,19,14.33,-5.68,21.16
Piarist School,15,8.16,0,20,10.98,-1.25,14.75
Walden,7,6.46,1,16,16.78,-16.99,19.58
