Name,Region,District,Record,In_State_Record,Rating
Marshall County,1,4,19-9,18-7,63.15
Breckinridge County,3,11,20-8,20-8,63.03
Ashland Blazer,16,64,17-11,15-10,62.95
Anderson County,8,30,16-7,16-7,62.54
Nicholas County,10,37,22-8,22-8,62.41
Frankfort,11,41,22-8,21-8,62.25
Harrodsburg,12,46,23-8,23-8,62.25
Union County,2,6,18-11,17-10,62.15
Scott,9,34,17-12,16-11,61.53
Knott County Central,14,55,18-12,18-12,61.15
St. Xavier,7,25,14-13,13-11,60.88
Montgomery County,10,40,18-9,18-9,60.55
Bell County,13,51,19-12,18-9,60.51
Greenup County,16,63,17-7,16-7,60.4
Conner,9,33,15-12,14-12,60.26
Owensboro,3,9,16-13,16-11,59.59
Pulaski County,12,48,18-9,17-9,59.11
Hazard,14,54,18-9,18-9,59
Jeffersontown,7,27,16-13,16-13,58.62
Garrard County,12,46,19-8,19-8,58.6
Moore,7,27,15-12,13-11,58.47
Barren County,4,15,16-9,16-9,58.09
Tates Creek,11,43,16-12,15-12,57.92
Lloyd Memorial,9,34,15-11,15-10,57.79
East Carter,16,62,22-10,21-10,57.55
Hart County,5,18,19-11,18-10,57.53
Campbellsville,5,20,18-9,17-9,57.37
Carlisle County,1,1,19-11,17-9,56.51
Fulton City,1,1,18-9,17-9,56.45
Trinity (Louisville),7,26,16-13,15-13,56.32
Ballard Memorial,1,3,17-11,15-11,56.27
Mason County,10,39,16-14,15-14,56.15
Bethlehem,5,19,17-8,16-8,55.66
Silver Grove,10,38,18-7,17-7,55.56
Powell County,14,56,17-10,17-10,55.34
Harrison County,10,37,15-12,15-12,54.96
Washington County,5,19,15-12,15-12,54.05
Henderson County,2,6,12-14,10-10,53.84
East Jessamine,11,42,15-11,12-10,53.4
Pike County Central,15,59,15-11,15-11,53.02
Oneida Baptist Institute,13,49,18-9,17-9,53.01
Carroll County,8,31,20-11,18-10,52.97
Holy Cross (Louisville),6,22,13-12,12-12,52.96
Magoffin County,15,57,16-13,16-12,52.87
Central,6,21,11-12,9-10,52.62
Butler,6,22,13-11,11-11,51.95
Mayfield,1,3,12-12,11-12,51.8
June Buchanan,14,55,21-8,20-7,51.66
Bullitt East,8,29,14-14,14-14,51.36
West Jessamine,11,42,15-16,15-16,51.2
Waggener,7,28,12-13,10-12,50.84
Mercer County,12,46,15-17,15-17,50.66
Central Hardin,5,17,11-14,11-14,49.84
South Oldham,8,31,11-11,11-10,49.74
West Carter,16,62,13-14,13-14,49.73
Bourbon County,10,37,10-13,10-13,49.63
Wolfe County,14,56,15-14,15-14,49.58
Atherton,7,26,11-14,11-14,49.27
Fleming County,10,39,11-14,10-13,49.19
Betsy Layne,15,58,13-12,13-12,48.66
Casey County,12,45,12-12,12-12,48.45
Cawood,13,52,16-13,16-12,48.19
North Hardin,5,17,12-14,11-14,48.17
Clinton County,4,16,17-11,16-9,48.1
Edmonson County,4,15,12-11,12-11,48.06
Lincoln County,12,45,11-14,11-14,47.97
Grant County,8,32,13-13,12-13,47.96
McLean County,3,12,14-14,14-14,47.87
Barbourville,13,50,15-11,12-11,47.81
Eastern,7,28,10-16,9-15,47.69
St. Henry,9,33,9-13,9-11,47.45
Todd County Central,4,13,13-13,13-13,47.43
Southwestern,12,48,12-13,12-13,47.27
Allen Central,15,58,14-11,14-11,47
Gallatin County,8,31,14-12,14-12,46.83
North Laurel,12,48,12-14,12-12,46.81
Crittenden County,2,5,20-9,18-8,46.69
Ryle,9,33,10-15,10-15,46.39
Franklin-Simpson,4,13,9-15,8-15,46.14
Hancock County,3,11,13-15,11-13,46.09
Western Hills,11,41,12-14,11-13,46.03
Beth Haven,6,23,16-10,15-10,46.02
Elliott County,16,62,16-10,16-10,45.84
Madison Southern,11,44,12-13,11-13,45.79
Knox Central,13,50,11-16,10-14,45.75
Adair County,5,20,12-14,12-14,45.63
Lewis County,16,62,11-15,11-15,45.55
Holy Cross (Covington),9,35,10-17,10-16,45.54
Burgin,12,46,11-10,11-10,45.53
Bullitt Central,8,29,11-13,11-13,45.41
Lawrence County,16,64,11-13,11-13,45.39
Belfry,15,60,9-11,9-8,45.37
Owen County,8,32,15-11,14-9,45.23
Somerset,12,48,14-17,14-17,45.21
Danville,12,45,12-13,11-13,45.15
Brown,7,25,19-7,16-7,44.86
Bardstown,5,19,10-13,9-13,44.71
Valley,6,23,10-14,10-14,44.21
Christian Academy-Louisville,7,26,16-11,12-11,44.2
Heath,1,2,13-16,12-14,44.15
Russell County,12,47,13-14,13-14,43.98
Murray,1,4,13-14,13-14,43.94
Providence,2,7,16-12,15-12,43.86
Grayson County,3,12,9-14,9-14,43.71
Shawnee,6,21,10-17,9-16,43.58
Estill County,10,40,13-14,13-14,43.55
Ludlow,9,35,15-11,14-10,42.79
DeSales,6,24,8-14,7-14,42.36
Caldwell County,2,5,12-12,12-11,42.23
Cordia,14,55,12-15,12-15,41.27
Doss,6,23,7-19,6-19,40.89
Fairview,16,63,14-12,13-11,40.61
Rockcastle County,13,49,10-17,10-16,40.36
Warren East,4,14,11-17,11-17,40.11
Lone Oak,1,2,11-16,10-16,40.01
University Heights,2,8,8-15,5-13,39.81
Southern,6,24,8-18,8-16,39.71
Rowan County,16,61,10-15,10-15,39.48
Newport,9,36,9-17,8-15,39.1
Apollo,3,9,5-21,5-20,38.45
Hopkinsville,2,8,9-17,8-16,38.34
Lyon County,2,5,14-15,13-14,38.28
Pendleton County,10,38,10-16,10-16,38.25
Hickman County,1,1,8-17,8-15,38.22
Woodford County,11,41,10-18,10-17,38.06
Boone County,9,33,5-21,5-21,38
North Bullitt,8,29,9-17,9-17,37.81
Jackson County,13,49,10-16,10-16,37.44
Webster County,2,6,10-16,10-16,37.21
Morgan County,16,61,12-16,12-16,37.12
Muhlenberg South,3,10,9-18,9-18,37.11
Allen County-Scottsville,4,15,9-16,9-16,36.51
Raceland,16,63,11-14,9-13,36.38
Bellevue,9,36,13-13,10-13,36.02
Millard,15,59,9-15,9-15,35.92
Paris,10,37,8-16,8-16,35.9
Letcher,14,53,13-16,13-16,35.55
Whitley County,13,50,8-17,5-13,35.51
Lynn Camp,13,50,10-12,8-11,35.25
Lexington Christian,11,42,9-16,9-16,35.08
Berea,11,44,10-18,10-18,35.01
Middlesboro,13,51,9-16,9-14,34.65
Bracken County,10,38,5-19,5-18,33.97
Western,6,22,7-17,6-16,33.91
Feds Creek,15,60,8-15,8-14,33.71
Trimble County,8,31,11-17,10-17,33.53
Green County,5,18,7-15,7-15,33.46
Breathitt County,14,55,7-19,7-19,33.39
Beechwood,9,34,10-15,10-14,33.12
Caverna,5,18,9-19,9-19,31.68
Calloway County,1,4,6-19,5-17,31.64
Fleming-Neon,14,53,9-12,8-12,31.62
Heritage Academy,9,33,12-14,9-13,31
Riverside Christian,14,55,12-14,12-14,30.91
Sheldon Clark,15,57,7-17,7-17,30.66
Boyle County,12,45,4-21,4-20,30.52
Augusta,10,39,14-15,13-15,30.39
Leslie County,14,54,7-15,7-15,30.29
Walton-Verona,8,32,9-19,9-19,30.22
Model,11,44,9-16,9-16,30.18
Russell,16,63,8-18,6-17,29.43
Spencer County,8,29,7-17,7-17,28.94
Cumberland,13,52,8-17,8-16,28.75
Livingston Central,2,5,9-20,9-20,28.64
Red Bird,13,51,11-18,11-17,28.28
LaRue County,5,18,5-21,5-21,28.23
Fort Campbell,2,8,8-17,5-16,28.09
Louisville Collegiate,7,25,8-12,6-10,28.05
McCreary Central,12,47,7-22,6-21,27.97
Fort Knox,5,17,6-18,5-18,27.95
Portland Christian,6,21,9-14,6-11,27.9
Seneca,7,26,2-17,2-17,27.84
Logan County,4,13,3-21,3-20,27.46
Williamstown,8,32,9-16,7-16,27
Menifee County,16,61,8-18,8-18,26.72
Evarts,13,52,6-17,6-17,26.58
Metcalfe County,4,16,7-20,7-20,26.31
Cumberland County,4,16,7-19,6-18,26.29
Eminence,8,30,10-19,9-19,26.26
Trinity (Whitesville),3,11,7-19,5-18,25.29
Fern Creek,7,27,3-22,2-20,25.17
Fulton County,1,1,3-20,3-18,24.71
Monticello,12,47,6-20,4-20,24.65
Bath County,16,61,3-19,3-19,22.65
Whitesburg,14,53,5-19,5-18,22.51
Deming,10,39,6-19,6-19,22.41
Rose Hill Christian,16,64,9-14,5-13,22.26
Evangel Christian,6,24,5-16,3-12,21.1
Trigg County,2,5,8-19,8-18,20.89
Monroe County,4,16,5-23,5-23,20.85
Prestonsburg,15,58,5-20,5-20,20.15
Jackson City,14,55,6-18,6-17,19.25
Sayre,11,42,3-22,3-22,18.72
Reidland,1,2,3-20,3-19,18.65
Jenkins,14,53,5-20,4-18,18.45
Butler County,3,10,3-21,2-21,17.78
Elkhorn City,15,60,3-19,3-16,17.57
Phelps,15,60,2-17,1-17,17.52
Dayton,9,36,3-20,3-17,17.43
Frederick Fraize,3,11,2-20,2-17,17.02
Lee County,14,56,4-22,4-22,15.73
Kentucky School f/t Deaf,12,45,9-15,2-12,15.29
Taylor County,5,20,3-23,3-23,13.78
Buckhorn,14,54,1-22,1-22,13.77
Pineville,13,51,4-20,4-20,12.78
Dawson Springs,2,7,2-21,1-19,12.54
Christian Fellowship,1,4,2-21,1-20,11.26
Henry County,8,30,1-25,1-25,10.95
Covington Latin,9,35,1-8,0-6,10.13
Millersburg Military,10,40,0-23,0-23,3.96
Walden,7,27,1-20,1-15,3.72
All Saints,12,48,0-17,0-14,3.32
Piarist School,15,58,1-25,1-25,2.36
Villa Madonna,9,34,0-24,0-23,-3.02
