Name,Region,District,Record,In_State_Record,Rating
Male,7,26,25-4,22-2,92.17
Marion County,5,20,19-7,19-6,66.9
Marshall County,1,4,19-10,15-5,73.87
Martin County,15,57,16-12,15-11,59.98
Mason County,10,39,16-10,16-10,59.75
Mayfield,1,3,17-9,16-9,58.73
McCracken County,1,2,25-5,22-4,82.15
McCreary Central,12,48,9-18,8-18,34.09
McLean County,3,10,18-10,14-10,51.45
Meade County,3,11,8-15,8-14,34.89
Menifee County,16,61,10-18,10-17,32.57
Mercer County,12,46,15-13,12-13,48.56
Metcalfe County,4,16,14-14,14-14,39.61
Middlesboro,13,52,19-9,17-9,57.08
Model,11,44,9-19,7-18,29.82
Monroe County,4,15,10-16,9-16,33.71
Montgomery County,10,40,18-11,18-11,61.62
Moore,6,23,9-15,9-14,46.78
Morgan County,16,62,9-17,9-17,33.06
Muhlenberg County,3,10,17-11,16-9,61.64
Murray,1,4,22-6,19-5,70.82
Nelson County,5,19,11-18,11-18,36.01
Newport,9,36,13-13,11-10,54.03
Newport Central Catholic,9,36,16-8,13-6,62.18
Nicholas County,10,38,4-24,4-24,16.05
North Bullitt,6,23,21-8,18-8,67.15
North Hardin,5,17,11-16,11-16,44.47
North Laurel,13,49,20-8,18-6,70.42
North Oldham,8,29,15-12,14-12,60.43
Ohio County,3,10,22-6,21-6,69.82
Oldham County,8,29,25-3,23-2,85.2
Oneida Baptist Institute,13,49,11-17,11-15,37.82
Owen County,8,31,7-22,7-22,21.77
Owensboro,3,9,16-10,15-9,62.24
Owensboro Catholic,3,9,17-12,17-11,55.69
Owsley County,14,56,10-14,9-14,28.85
Paducah Tilghman,1,2,19-9,16-5,68.12
Paintsville,15,57,14-11,14-11,57.98
Paris,10,40,9-17,9-16,35.23
Paul Laurence Dunbar,11,43,11-17,11-17,54.11
Pendleton County,10,38,11-17,11-17,38.07
Perry County Central,14,54,11-16,9-14,43.92
Phelps,15,60,17-10,11-6,54.49
Piarist School,15,60,7-20,7-18,26.64
Pike County Central,15,60,14-10,12-8,57.38
Pikeville,15,59,10-15,6-13,30.05
Pineville,13,51,16-9,16-9,68.21
Pleasure Ridge Park,6,21,8-17,8-15,23.27
Portland Christian,7,25,6-19,6-19,18.87
Powell County,14,56,8-16,8-15,33.66
Prestonsburg,15,58,23-5,20-4,75.46
Pulaski County,12,47,17-8,15-7,54.54
Raceland,16,63,7-20,4-17,19.78
Red Bird,13,49,21-5,21-5,69.03
Robertson County,10,38,7-19,7-19,30.95
Rockcastle County,12,47,5-20,1-17,11.79
Rose Hill Christian,16,64,22-7,19-6,71.73
Rowan County,16,61,10-14,8-12,44.77
Russell,16,63,13-15,12-14,43.39
Russell County,4,16,6-19,4-18,15.58
Russellville,4,13,12-15,12-15,46.87
Sayre,11,42,15-14,14-14,45.44
Scott,10,37,6-20,6-19,30.38
Scott County,11,42,15-14,13-14,56.88
Seneca,7,27,19-8,19-8,73.78
Shawnee,7,25,14-11,13-11,42.56
Shelby County,8,30,5-21,5-21,26.36
Shelby Valley,15,59,22-6,21-4,74.75
Simon Kenton,8,32,19-9,19-9,70.92
Somerset,12,47,22-5,19-5,70.9
South Laurel,13,50,24-4,23-4,81.07
South Oldham,8,29,20-8,20-7,76.63
South Warren,4,14,14-14,13-13,51.06
Southern,6,23,5-17,5-16,32.95
Southwestern,12,48,15-13,11-11,52.2
Spencer County,8,30,20-7,20-7,74.16
St. Francis,7,25,6-17,6-15,23.23
St. Henry,9,34,21-4,21-4,81.75
St. Mary,1,2,12-18,11-16,34.2
St. Patrick,10,39,5-23,5-20,12.71
St. Xavier,7,26,17-9,15-8,68.13
Tates Creek,11,43,15-12,15-12,63.69
Taylor County,5,20,13-15,13-15,44.17
Thomas Nelson,5,19,9-17,8-17,28.83
Todd County Central,4,13,6-20,4-20,17.72
Trigg County,2,5,10-18,8-16,26.62
Trimble County,8,29,7-19,7-16,29.1
Trinity (Louisville),7,27,15-14,12-12,60.58
Trinity (Whitesville),3,12,9-20,9-20,26.19
Union County,2,6,9-19,7-17,31.06
University Heights,2,8,14-11,12-10,54.76
Valley,6,21,5-19,5-19,29.59
Villa Madonna,9,34,6-22,6-16,20.3
Waggener,7,27,16-10,16-10,65.87
Walden,7,28,19-10,16-9,43.31
Walton-Verona,8,32,12-17,12-17,40.8
Warren Central,4,14,21-6,20-6,76.87
Warren East,4,14,5-20,5-20,22.64
Washington County,5,19,4-25,3-25,11.64
Wayne County,12,48,17-11,14-9,59.31
Webster County,2,6,22-5,18-4,70.51
West Carter,16,62,14-12,14-12,51.75
West Jessamine,12,46,15-11,15-11,62.19
Western,6,22,14-13,14-13,52.74
Western Hills,11,41,14-14,12-14,42.01
Whitefield Academy,6,24,14-12,13-12,44.09
Whitley County,13,50,12-17,9-15,34.92
Williamsburg,13,50,15-12,10-11,46.42
Williamstown,8,32,12-16,12-16,31.43
Wolfe County,14,55,18-8,18-8,58.99
Woodford County,8,30,16-14,16-14,59.02
